,Date,Advances,Unchanged,Declines,Total,pct_Adv,pct_Unc,pct_Dec,MA20,MA60,MA200,pct_MA20,pct_MA60,pct_MA200,RSI>70,RSI<30,pct_RSI>70,pct_RSI<30,MACD>0,MACD>Signal,pct_MACD>0,pct_MACD>Signal,New_High_20d,New_High_60d,New_High_250d,New_Low_20d,New_Low_60d,New_Low_250d,pct_New_High_20d,pct_New_High_60d,pct_New_High_250d,pct_New_Low_20d,pct_New_Low_60d,pct_New_Low_250d
442,2021-09-22,60,29,31,120,50.0,24.166666666666668,25.833333333333332,45,70,94,37.5,58.333333333333336,78.33333333333333,4,0,3.3333333333333335,0.0,75,49,62.5,40.833333333333336,8,5,2,2,0,0,6.666666666666667,4.166666666666667,1.6666666666666667,1.6666666666666667,0.0,0.0
443,2021-09-23,23,27,70,120,19.166666666666668,22.5,58.333333333333336,40,60,92,33.333333333333336,50.0,76.66666666666667,2,0,1.6666666666666667,0.0,73,37,60.833333333333336,30.833333333333332,7,4,1,8,0,0,5.833333333333333,3.3333333333333335,0.8333333333333334,6.666666666666667,0.0,0.0
444,2021-09-27,18,13,89,120,15.0,10.833333333333334,74.16666666666667,23,53,88,19.166666666666668,44.166666666666664,73.33333333333333,1,1,0.8333333333333334,0.8333333333333334,64,30,53.333333333333336,25.0,3,2,0,25,5,0,2.5,1.6666666666666667,0.0,20.833333333333332,4.166666666666667,0.0
445,2021-09-28,46,28,46,120,38.333333333333336,23.333333333333332,38.333333333333336,34,56,87,28.333333333333332,46.666666666666664,72.5,3,1,2.5,0.8333333333333334,61,26,50.833333333333336,21.666666666666668,8,6,3,21,2,0,6.666666666666667,5.0,2.5,17.5,1.6666666666666667,0.0
446,2021-09-29,58,28,34,120,48.333333333333336,23.333333333333332,28.333333333333332,37,60,90,30.833333333333332,50.0,75.0,3,0,2.5,0.0,54,28,45.0,23.333333333333332,4,4,2,15,2,0,3.3333333333333335,3.3333333333333335,1.6666666666666667,12.5,1.6666666666666667,0.0
447,2021-09-30,32,18,70,120,26.666666666666668,15.0,58.333333333333336,30,54,88,25.0,45.0,73.33333333333333,2,1,1.6666666666666667,0.8333333333333334,50,28,41.666666666666664,23.333333333333332,4,2,0,11,1,0,3.3333333333333335,1.6666666666666667,0.0,9.166666666666666,0.8333333333333334,0.0
448,2021-10-01,35,27,58,120,29.166666666666668,22.5,48.333333333333336,24,45,87,20.0,37.5,72.5,3,2,2.5,1.6666666666666667,48,24,40.0,20.0,4,3,0,22,4,1,3.3333333333333335,2.5,0.0,18.333333333333332,3.3333333333333335,0.8333333333333334
449,2021-10-04,59,30,31,120,49.166666666666664,25.0,25.833333333333332,31,49,85,25.833333333333332,40.833333333333336,70.83333333333333,4,1,3.3333333333333335,0.8333333333333334,46,25,38.333333333333336,20.833333333333332,8,6,2,8,2,0,6.666666666666667,5.0,1.6666666666666667,6.666666666666667,1.6666666666666667,0.0
450,2021-10-05,33,33,54,120,27.5,27.5,45.0,28,51,83,23.333333333333332,42.5,69.16666666666667,5,4,4.166666666666667,3.3333333333333335,42,26,35.0,21.666666666666668,4,3,2,11,2,0,3.3333333333333335,2.5,1.6666666666666667,9.166666666666666,1.6666666666666667,0.0
451,2021-10-06,38,36,46,120,31.666666666666668,30.0,38.333333333333336,32,54,81,26.666666666666668,45.0,67.5,4,4,3.3333333333333335,3.3333333333333335,37,30,30.833333333333332,25.0,6,5,3,9,1,0,5.0,4.166666666666667,2.5,7.5,0.8333333333333334,0.0
452,2021-10-07,70,34,16,120,58.333333333333336,28.333333333333332,13.333333333333334,44,65,83,36.666666666666664,54.166666666666664,69.16666666666667,5,0,4.166666666666667,0.0,43,38,35.833333333333336,31.666666666666668,4,3,2,1,0,0,3.3333333333333335,2.5,1.6666666666666667,0.8333333333333334,0.0,0.0
453,2021-10-08,58,26,36,120,48.333333333333336,21.666666666666668,30.0,57,62,91,47.5,51.666666666666664,75.83333333333333,5,0,4.166666666666667,0.0,47,48,39.166666666666664,40.0,10,7,4,0,0,0,8.333333333333334,5.833333333333333,3.3333333333333335,0.0,0.0,0.0
454,2021-10-11,38,28,54,120,31.666666666666668,23.333333333333332,45.0,50,65,87,41.666666666666664,54.166666666666664,72.5,5,0,4.166666666666667,0.0,49,56,40.833333333333336,46.666666666666664,10,4,1,2,0,0,8.333333333333334,3.3333333333333335,0.8333333333333334,1.6666666666666667,0.0,0.0
455,2021-10-12,57,26,37,120,47.5,21.666666666666668,30.833333333333332,59,69,88,49.166666666666664,57.5,73.33333333333333,5,1,4.166666666666667,0.8333333333333334,55,62,45.833333333333336,51.666666666666664,15,9,4,4,1,0,12.5,7.5,3.3333333333333335,3.3333333333333335,0.8333333333333334,0.0
456,2021-10-14,51,25,44,120,42.5,20.833333333333332,36.666666666666664,71,73,91,59.166666666666664,60.833333333333336,75.83333333333333,4,1,3.3333333333333335,0.8333333333333334,59,71,49.166666666666664,59.166666666666664,7,0,0,4,2,0,5.833333333333333,0.0,0.0,3.3333333333333335,1.6666666666666667,0.0
